t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
1.49629,59,0.1313,-0.237448,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.50636,70,0.131296,-0.237428,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.51642,70,0.131292,-0.237408,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.5265,79,0.131286,-0.237386,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.53658,84,0.131277,-0.237362,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.54666,84,0.131269,-0.237338,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.55673,92,0.131259,-0.237311,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.5668,92,0.131249,-0.237285,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.57687,97,0.131238,-0.237257,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.58693,108,0.131226,-0.237226,0.35249,3.114,-0.065,1.985,0.131287,-0.23748,0.352495,3.114,-0.065,1.984
1.597,108,0.131214,-0.237196,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.60706,112,0.131202,-0.237164,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.61712,118,0.13119,-0.23713,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.62719,118,0.131177,-0.237096,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.63725,126,0.131164,-0.23706,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.6473,126,0.13115,-0.237024,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.65736,136,0.131137,-0.236985,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.66741,144,0.131123,-0.236944,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.67747,144,0.13111,-0.236903,0.35249,3.114,-0.065,1.985,0.131297,-0.237467,0.352502,3.114,-0.065,1.984
1.68752,153,0.131096,-0.236859,0.35249,3.114,-0.065,1.985,0.131269,-0.237232,0.352557,3.114,-0.065,1.985
1.69758,154,0.131083,-0.236815,0.35249,3.114,-0.065,1.985,0.131269,-0.237232,0.352557,3.114,-0.065,1.985
1.70763,154,0.13107,-0.236771,0.35249,3.114,-0.065,1.985,0.131269,-0.237232,0.352557,3.114,-0.065,1.985
1.71769,158,0.131057,-0.236726,0.35249,3.114,-0.065,1.985,0.131269,-0.237232,0.352557,3.114,-0.065,1.985
1.72774,158,0.131043,-0.236681,0.35249,3.114,-0.065,1.985,0.131269,-0.237232,0.352557,3.114,-0.065,1.985
1.7378,164,0.131029,-0.236634,0.35249,3.114,-0.065,1.985,0.131269,-0.237232,0.352557,3.114,-0.065,1.985
1.74785,171,0.131015,-0.236585,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.7579,171,0.131001,-0.236536,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.76796,172,0.130988,-0.236487,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.77801,175,0.130977,-0.236437,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.78807,175,0.130966,-0.236387,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.79812,176,0.130956,-0.236337,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.80818,176,0.130947,-0.236287,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.81823,182,0.130937,-0.236235,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.82829,188,0.130925,-0.236181,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.83835,188,0.130913,-0.236127,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.84841,191,0.1309,-0.236073,0.35249,3.114,-0.065,1.985,0.131141,-0.236863,0.352556,3.113,-0.066,1.985
1.85851,191,0.130886,-0.236018,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.86857,191,0.130873,-0.235964,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.87863,188,0.130861,-0.23591,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.88869,185,0.13085,-0.235857,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.89874,185,0.130839,-0.235804,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.9088,185,0.130828,-0.235751,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.91886,185,0.130816,-0.235698,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.92892,184,0.130805,-0.235646,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.93897,182,0.130794,-0.235594,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.94903,182,0.130783,-0.235542,0.35249,3.114,-0.065,1.985,0.130928,-0.236386,0.352581,3.113,-0.066,1.985
1.95908,182,0.130772,-0.23549,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
1.96914,181,0.130762,-0.235438,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
1.9792,181,0.130752,-0.235386,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
1.98925,180,0.130741,-0.235335,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
1.99931,180,0.13073,-0.235284,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.00936,176,0.13072,-0.235233,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.01942,170,0.13071,-0.235185,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.02948,170,0.130699,-0.235136,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.03953,162,0.130689,-0.23509,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.04959,154,0.130679,-0.235046,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.05965,154,0.130669,-0.235002,0.35249,3.114,-0.065,1.985,0.130785,-0.235689,0.352608,3.113,-0.067,1.985
2.0697,141,0.13066,-0.234962,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.07976,141,0.13065,-0.234921,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.08982,120,0.130641,-0.234887,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.09988,93,0.130635,-0.23486,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.10994,93,0.130629,-0.234834,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.11999,68,0.130625,-0.234814,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.13005,51,0.130623,-0.2348,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
2.14011,51,0.130621,-0.234785,0.35249,3.114,-0.065,1.985,0.130663,-0.235176,0.352622,3.114,-0.066,1.985
3.54292,51,0.130621,-0.2348,0.352487,3.114,-0.065,1.985,0.130624,-0.234795,0.35245,3.114,-0.064,1.984
3.553,61,0.130621,-0.234817,0.352483,3.114,-0.065,1.985,0.130624,-0.234795,0.35245,3.114,-0.064,1.984
3.56306,67,0.130621,-0.234836,0.352478,3.114,-0.065,1.985,0.130624,-0.234795,0.35245,3.114,-0.064,1.984
3.57313,67,0.130621,-0.234856,0.352473,3.114,-0.065,1.985,0.130624,-0.234795,0.35245,3.114,-0.064,1.984
3.5832,73,0.130621,-0.234876,0.352467,3.114,-0.065,1.985,0.130624,-0.234795,0.35245,3.114,-0.064,1.984
