t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
5e-05,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223054,0.331024,3.109,-0.063,1.922
0.02013,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223052,0.331035,3.109,-0.062,1.922
0.0402,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223052,0.331035,3.109,-0.062,1.922
0.06027,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223052,0.331035,3.109,-0.062,1.922
0.08033,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223052,0.331035,3.109,-0.062,1.922
0.10038,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223052,0.331035,3.109,-0.062,1.922
0.12045,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.223056,0.331029,3.109,-0.062,1.922
0.14053,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.223056,0.331029,3.109,-0.062,1.922
0.1606,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.223056,0.331029,3.109,-0.062,1.922
0.18066,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.223056,0.331029,3.109,-0.062,1.922
0.20073,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.223056,0.331029,3.109,-0.062,1.922
0.2208,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125742,-0.223061,0.331034,3.109,-0.062,1.922
0.24086,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125748,-0.223066,0.331024,3.109,-0.062,1.921
0.26093,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125748,-0.223066,0.331024,3.109,-0.062,1.921
0.28099,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125748,-0.223066,0.331024,3.109,-0.062,1.921
0.30101,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125748,-0.223066,0.331024,3.109,-0.062,1.921
0.3211,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125748,-0.223066,0.331024,3.109,-0.062,1.921
0.34116,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.12577,-0.223061,0.33102,3.11,-0.062,1.922
0.36121,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.12577,-0.223061,0.33102,3.11,-0.062,1.922
0.38127,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.12577,-0.223061,0.33102,3.11,-0.062,1.922
0.40132,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.12577,-0.223061,0.33102,3.11,-0.062,1.922
0.42138,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125767,-0.223069,0.331026,3.109,-0.062,1.922
0.44144,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125767,-0.223069,0.331026,3.109,-0.062,1.922
0.4615,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125783,-0.223059,0.331008,3.11,-0.062,1.922
0.48155,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125783,-0.223059,0.331008,3.11,-0.062,1.922
0.50161,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125783,-0.223059,0.331008,3.11,-0.062,1.922
0.52167,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125783,-0.223059,0.331008,3.11,-0.062,1.922
0.54173,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125783,-0.223059,0.331008,3.11,-0.062,1.922
0.56179,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125762,-0.223068,0.331015,3.109,-0.062,1.922
0.58185,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125762,-0.223068,0.331015,3.109,-0.062,1.922
0.60191,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125762,-0.223068,0.331015,3.109,-0.062,1.922
0.62198,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125762,-0.223068,0.331015,3.109,-0.062,1.922
0.642,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.223068,0.331,3.109,-0.062,1.922
0.66206,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125752,-0.223054,0.331001,3.109,-0.063,1.922
0.68211,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125752,-0.223054,0.331001,3.109,-0.063,1.922
0.70217,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125752,-0.223054,0.331001,3.109,-0.063,1.922
0.72224,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125752,-0.223054,0.331001,3.109,-0.063,1.922
0.7423,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125756,-0.223061,0.331001,3.109,-0.062,1.922
0.76236,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125756,-0.223061,0.331001,3.109,-0.062,1.922
0.78242,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125756,-0.223061,0.331001,3.109,-0.062,1.922
0.80248,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125756,-0.223061,0.331001,3.109,-0.062,1.922
0.82255,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125764,-0.223052,0.331,3.109,-0.063,1.922
0.84261,0,0.125742,-0.223055,0.331013,3.11,-0.063,1.922,0.125764,-0.223052,0.331,3.109,-0.063,1.922
0.86267,25,0.125713,-0.223055,0.331013,3.11,-0.063,1.922,0.125764,-0.223052,0.331,3.109,-0.063,1.922
0.88273,44,0.125663,-0.223055,0.331013,3.11,-0.063,1.922,0.125764,-0.223052,0.331,3.109,-0.063,1.922
0.90279,65,0.125589,-0.223055,0.331013,3.11,-0.063,1.922,0.125764,-0.223052,0.331,3.109,-0.063,1.922
0.92285,88,0.125488,-0.223055,0.331013,3.11,-0.063,1.922,0.125747,-0.22305,0.330996,3.109,-0.063,1.922
0.94291,127,0.125343,-0.223049,0.331013,3.11,-0.063,1.922,0.125747,-0.22305,0.330996,3.109,-0.063,1.922
0.96297,136,0.125188,-0.223041,0.331013,3.11,-0.063,1.921886,0.125747,-0.22305,0.330996,3.109,-0.063,1.922
0.983,141,0.125027,-0.223026,0.331013,3.11,-0.063,1.921691,0.125747,-0.22305,0.330996,3.109,-0.063,1.922
1.00305,141,0.124865,-0.223009,0.331013,3.11,-0.063,1.92152,0.125747,-0.22305,0.330996,3.109,-0.063,1.922
1.02312,138,0.124708,-0.222966,0.331021,3.11,-0.063,1.921394,0.125721,-0.223058,0.330996,3.109,-0.063,1.921
1.04318,142,0.124545,-0.222901,0.331047,3.11,-0.063,1.921326,0.125721,-0.223058,0.330996,3.109,-0.063,1.921
1.06323,144,0.124381,-0.222828,0.331083,3.11,-0.063,1.921326,0.125721,-0.223058,0.330996,3.109,-0.063,1.921
1.08329,147,0.124213,-0.22275,0.331118,3.11,-0.063,1.921326,0.125637,-0.223036,0.331001,3.109,-0.063,1.921
1.10335,163,0.124027,-0.222649,0.331167,3.11,-0.063,1.921326,0.125637,-0.223036,0.331001,3.109,-0.063,1.921
1.12341,174,0.123828,-0.222543,0.331228,3.11,-0.063,1.921326,0.125637,-0.223036,0.331001,3.109,-0.063,1.921
1.14347,180,0.123622,-0.222439,0.331301,3.11,-0.063,1.921326,0.125637,-0.223036,0.331001,3.109,-0.063,1.921
1.16353,184,0.123412,-0.222337,0.331382,3.11,-0.063,1.921326,0.125565,-0.223002,0.33098,3.109,-0.063,1.921
1.18359,187,0.123198,-0.222236,0.331466,3.11,-0.063,1.921326,0.125565,-0.223002,0.33098,3.109,-0.063,1.921
1.20364,189,0.122982,-0.222124,0.331549,3.11,-0.063,1.921326,0.125565,-0.223002,0.33098,3.109,-0.063,1.921
1.22371,189,0.122766,-0.222002,0.33163,3.11,-0.063,1.921326,0.125565,-0.223002,0.33098,3.109,-0.063,1.921
1.24376,189,0.12255,-0.221874,0.33171,3.11,-0.063,1.921326,0.125391,-0.222897,0.331014,3.109,-0.063,1.921
1.26382,192,0.122331,-0.221737,0.331789,3.11,-0.063,1.921326,0.125391,-0.222897,0.331014,3.109,-0.063,1.921
1.28387,196,0.122107,-0.221597,0.331867,3.11,-0.063,1.921326,0.125391,-0.222897,0.331014,3.109,-0.063,1.921
1.30393,203,0.121875,-0.22145,0.331942,3.11,-0.063,1.921326,0.125391,-0.222897,0.331014,3.109,-0.063,1.921
1.32399,209,0.121636,-0.2213,0.332018,3.11,-0.063,1.921326,0.125391,-0.222897,0.331014,3.109,-0.063,1.921
1.34405,220,0.121384,-0.221143,0.332091,3.11,-0.063,1.921326,0.124967,-0.222682,0.331064,3.109,-0.063,1.92
1.3641,226,0.121126,-0.220984,0.33216,3.11,-0.063,1.921326,0.124967,-0.222682,0.331064,3.109,-0.063,1.92
