t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
7e-05,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169566,-0.231117,0.364185,3.123,-0.037,1.843
0.01013,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169558,-0.231124,0.364192,3.123,-0.037,1.843
0.02018,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169558,-0.231124,0.364192,3.123,-0.037,1.843
0.03024,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169558,-0.231124,0.364192,3.123,-0.037,1.843
0.0403,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169558,-0.231124,0.364192,3.123,-0.037,1.843
0.05036,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169558,-0.231124,0.364192,3.123,-0.037,1.843
0.06041,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169551,-0.231124,0.364185,3.123,-0.037,1.842
0.07048,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169551,-0.231124,0.364185,3.123,-0.037,1.842
0.08054,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169551,-0.231124,0.364185,3.123,-0.037,1.842
0.0906,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169551,-0.231124,0.364185,3.123,-0.037,1.842
0.10065,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169551,-0.231124,0.364185,3.123,-0.037,1.842
0.11071,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169551,-0.231124,0.364185,3.123,-0.037,1.842
0.12077,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169546,-0.231067,0.364118,3.123,-0.038,1.843
0.13082,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169533,-0.231044,0.364116,3.123,-0.038,1.843
0.14088,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169533,-0.231044,0.364116,3.123,-0.038,1.843
0.15094,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169533,-0.231044,0.364116,3.123,-0.038,1.843
0.16099,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169533,-0.231044,0.364116,3.123,-0.038,1.843
0.17105,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169533,-0.231044,0.364116,3.123,-0.038,1.843
0.1811,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169516,-0.231011,0.364077,3.123,-0.038,1.843
0.19118,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169516,-0.231011,0.364077,3.123,-0.038,1.843
0.20124,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169516,-0.231011,0.364077,3.123,-0.038,1.843
0.2113,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169516,-0.231011,0.364077,3.123,-0.038,1.843
0.22136,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169516,-0.231011,0.364077,3.123,-0.038,1.843
0.23142,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169516,-0.231011,0.364077,3.123,-0.038,1.843
0.24148,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169487,-0.23098,0.364081,3.123,-0.038,1.842
0.25154,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169475,-0.230968,0.364087,3.123,-0.038,1.843
0.26163,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169475,-0.230968,0.364087,3.123,-0.038,1.843
0.2717,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169475,-0.230968,0.364087,3.123,-0.038,1.843
0.28176,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169475,-0.230968,0.364087,3.123,-0.038,1.843
0.29186,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169475,-0.230968,0.364087,3.123,-0.038,1.843
0.30192,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169455,-0.230957,0.36409,3.124,-0.038,1.842
0.31198,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169466,-0.230946,0.364086,3.124,-0.038,1.843
0.32204,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169466,-0.230946,0.364086,3.124,-0.038,1.843
0.3321,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169466,-0.230946,0.364086,3.124,-0.038,1.843
0.34216,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169466,-0.230946,0.364086,3.124,-0.038,1.843
0.35227,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169466,-0.230946,0.364086,3.124,-0.038,1.843
0.36234,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169455,-0.230907,0.364104,3.123,-0.038,1.843
0.37241,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169446,-0.230906,0.364108,3.123,-0.038,1.842
0.38243,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169446,-0.230906,0.364108,3.123,-0.038,1.842
0.39249,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169446,-0.230906,0.364108,3.123,-0.038,1.842
0.40255,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169446,-0.230906,0.364108,3.123,-0.038,1.842
0.4126,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169446,-0.230906,0.364108,3.123,-0.038,1.842
0.42266,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169427,-0.230881,0.364103,3.123,-0.038,1.842
0.43272,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169422,-0.230861,0.364101,3.123,-0.038,1.842
0.44278,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169422,-0.230861,0.364101,3.123,-0.038,1.842
0.45284,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169422,-0.230861,0.364101,3.123,-0.038,1.842
0.46289,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169422,-0.230861,0.364101,3.123,-0.038,1.842
0.47296,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169422,-0.230861,0.364101,3.123,-0.038,1.842
0.48309,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169391,-0.230852,0.364101,3.123,-0.038,1.842
0.4932,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169387,-0.230844,0.364098,3.123,-0.038,1.842
0.50327,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169387,-0.230844,0.364098,3.123,-0.038,1.842
0.51334,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169387,-0.230844,0.364098,3.123,-0.038,1.842
0.52341,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169387,-0.230844,0.364098,3.123,-0.038,1.842
0.53349,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169387,-0.230844,0.364098,3.123,-0.038,1.842
0.54356,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169364,-0.230829,0.364102,3.123,-0.038,1.842
0.55362,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169385,-0.230823,0.36409,3.123,-0.038,1.842
0.56367,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169385,-0.230823,0.36409,3.123,-0.038,1.842
0.57373,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169385,-0.230823,0.36409,3.123,-0.038,1.842
0.58378,0,0.169558,-0.231115,0.364192,3.123,-0.037,1.843,0.169385,-0.230823,0.36409,3.123,-0.038,1.842
