t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
9e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000325,0.000108,-0.000651,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167489,-0.231632,0.361457,3.122,-0.035,1.545
0.01015,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5e-05,0.00039,0.000909,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167488,-0.231626,0.361471,3.122,-0.035,1.545
0.02023,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5e-05,0.00039,0.000909,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167488,-0.231626,0.361471,3.122,-0.035,1.545
0.03029,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5e-05,0.00039,0.000909,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167488,-0.231626,0.361471,3.122,-0.035,1.545
0.04035,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5e-05,0.00039,0.000909,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167488,-0.231626,0.361471,3.122,-0.035,1.545
0.05041,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5e-05,0.00039,0.000909,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167488,-0.231626,0.361471,3.122,-0.035,1.545
0.06046,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.5e-05,0.00039,0.000909,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167488,-0.231626,0.361471,3.122,-0.035,1.545
0.07048,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,9.2e-05,-0.000239,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167499,-0.231621,0.361458,3.122,-0.035,1.545
0.08054,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,9.2e-05,-0.000239,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167499,-0.231621,0.361458,3.122,-0.035,1.545
0.09059,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,9.2e-05,-0.000239,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167499,-0.231621,0.361458,3.122,-0.035,1.545
0.10065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,9.2e-05,-0.000239,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167499,-0.231621,0.361458,3.122,-0.035,1.545
0.11071,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,9.2e-05,-0.000239,0.0,0.0,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167499,-0.231621,0.361458,3.122,-0.035,1.545
0.12076,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7e-05,-7.6e-05,-0.000267,0.0,-0.019083,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167496,-0.231625,0.361444,3.122,-0.036,1.545
0.13082,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7e-05,-7.6e-05,-0.000267,0.0,-0.019083,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167496,-0.231625,0.361444,3.122,-0.036,1.545
0.14088,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7e-05,-7.6e-05,-0.000267,0.0,-0.019083,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167496,-0.231625,0.361444,3.122,-0.036,1.545
0.15095,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.7e-05,-7.6e-05,-0.000267,0.0,-0.019083,0.0,0.167498,-0.231616,0.361466,3.122,-0.035,1.545,0.167496,-0.231625,0.361444,3.122,-0.036,1.545
