t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
4e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000191,2.4e-05,0.0,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117966,-0.168129,0.454389,3.103,-0.019,1.209
0.0101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.02017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.03023,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.0403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.05038,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.06045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.07051,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.08057,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.09063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.10069,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236,-0.000118,-0.000413,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117974,-0.168133,0.454375,3.103,-0.019,1.209
0.11075,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.12081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.13087,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.14095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.15101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.16107,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.17113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.18119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.19125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.20131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.21137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.22143,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.23146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000146,0.000115,0.000188,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117988,-0.168122,0.454393,3.103,-0.019,1.209
0.24152,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000154,0.0,-6.6e-05,0.0,0.0,0.0,0.117966,-0.16813,0.454384,3.103,-0.019,1.209,0.117967,-0.168122,0.454384,3.103,-0.019,1.209
