t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000322,9.2e-05,-0.000414,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119395,-0.168069,0.413985,3.103,-0.021,1.202
0.01016,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.02022,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.03028,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.04031,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.05037,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.06044,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.0705,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000553,-0.000184,0.000876,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119383,-0.168073,0.414004,3.103,-0.021,1.202
0.08056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.09062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.10068,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.11073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.12079,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.13085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.14091,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.15097,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.16103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232,5.2e-05,-6.5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119401,-0.168069,0.413999,3.103,-0.021,1.202
0.17108,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.18114,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.1912,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.20126,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.21132,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.22138,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.23144,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000123,-3.7e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119391,-0.168072,0.413999,3.103,-0.021,1.202
0.24158,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.25164,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.26171,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.27176,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.28182,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.29188,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.30194,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.312,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.32206,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.33212,0,0.0,0.0,0.0,0.0,0.0,0.0,6.5e-05,5.2e-05,0.0,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119396,-0.168068,0.413999,3.103,-0.021,1.202
0.34218,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
0.3523,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
0.36243,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
0.37256,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
0.38269,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
0.39281,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
0.40289,0,0.0,0.0,0.0,0.0,0.0,0.0,-7e-05,-2e-05,-5e-05,0.0,0.0,0.0,0.119386,-0.168071,0.414004,3.103,-0.021,1.202,0.119389,-0.16807,0.413994,3.103,-0.021,1.202
