t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000373,0.000298,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120264,-0.167292,0.447689,3.105,-0.023,1.205
0.01016,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.02021,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.03027,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.04033,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.05039,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.06045,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.0705,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.08056,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.09062,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.10067,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000265,0.0,0.000177,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120249,-0.167292,0.447699,3.105,-0.023,1.205
0.11073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.12081,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.13087,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.14093,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.15098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.16104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.17109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.18114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.19116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.20121,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135,5.8e-05,3.8e-05,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.120263,-0.167286,0.447703,3.105,-0.023,1.205
0.21127,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013,-0.00015,-0.00018,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.12025,-0.167301,0.447685,3.105,-0.023,1.205
0.22133,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013,-0.00015,-0.00018,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.12025,-0.167301,0.447685,3.105,-0.023,1.205
0.23139,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00013,-0.00015,-0.00018,0.0,0.0,0.0,0.120261,-0.167289,0.447694,3.105,-0.023,1.205,0.12025,-0.167301,0.447685,3.105,-0.023,1.205
