t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
9e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5e-05,0.000172,-0.000172,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032265,-0.166698,0.415374,3.117,-0.039,1.191
0.01016,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5e-05,0.000172,-0.000172,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032265,-0.166698,0.415374,3.117,-0.039,1.191
0.02022,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.5e-05,0.000172,-0.000172,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032265,-0.166698,0.415374,3.117,-0.039,1.191
0.03026,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.04032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.05038,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.06044,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.0705,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.08056,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.09062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.10068,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000202,-0.000235,0.000168,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032271,-0.166705,0.415379,3.117,-0.039,1.191
0.11074,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.1208,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.13086,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.14092,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.15098,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.16104,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.17107,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.18113,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.19119,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.20125,0,0.0,0.0,0.0,0.0,0.0,0.0,-9.6e-05,0.000156,4.8e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032263,-0.166692,0.415383,3.117,-0.039,1.191
0.21131,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,-0.000133,-4.1e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032275,-0.166705,0.415379,3.117,-0.039,1.191
0.22137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,-0.000133,-4.1e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032275,-0.166705,0.415379,3.117,-0.039,1.191
0.23144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,-0.000133,-4.1e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032275,-0.166705,0.415379,3.117,-0.039,1.191
0.2415,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000123,-0.000133,-4.1e-05,0.0,0.0,0.0,0.032269,-0.166707,0.415381,3.117,-0.039,1.191,0.032275,-0.166705,0.415379,3.117,-0.039,1.191
