t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.00014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.0102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.02027,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.03033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.04039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.05045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.06051,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.07065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.0808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.000204,5.1e-05,0.000153,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176504,0.429775,3.119,-0.036,1.194
0.09095,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4e-05,6.9e-05,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176507,0.429781,3.119,-0.036,1.194
0.10102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4e-05,6.9e-05,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176507,0.429781,3.119,-0.036,1.194
0.11108,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4e-05,6.9e-05,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176507,0.429781,3.119,-0.036,1.194
0.12114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4e-05,6.9e-05,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176507,0.429781,3.119,-0.036,1.194
0.1312,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4e-05,6.9e-05,0.0,0.0,0.0,0.032606,-0.176498,0.42978,3.119,-0.036,1.194,0.032607,-0.176507,0.429781,3.119,-0.036,1.194
