t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,act_vx,act_vy,act_vz,act_wx,act_wy,act_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.00012,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,0.0,-0.000126,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.03232,-0.16711,0.42176,3.117,-0.036,1.19
0.01018,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,0.0,-0.000126,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.03232,-0.16711,0.42176,3.117,-0.036,1.19
0.02024,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,0.0,-0.000126,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.03232,-0.16711,0.42176,3.117,-0.036,1.19
0.0303,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,0.0,-0.000126,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.03232,-0.16711,0.42176,3.117,-0.036,1.19
0.04036,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,0.0,-0.000126,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.03232,-0.16711,0.42176,3.117,-0.036,1.19
0.05042,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,0.0,-0.000126,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.03232,-0.16711,0.42176,3.117,-0.036,1.19
0.06048,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-05,8.7e-05,0.000116,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.032324,-0.167104,0.421768,3.117,-0.036,1.19
0.07054,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-05,8.7e-05,0.000116,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.032324,-0.167104,0.421768,3.117,-0.036,1.19
0.0806,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-05,8.7e-05,0.000116,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.032324,-0.167104,0.421768,3.117,-0.036,1.19
0.09066,0,0.0,0.0,0.0,0.0,0.0,0.0,5.8e-05,8.7e-05,0.000116,0.0,0.0,0.0,0.03233,-0.167108,0.421761,3.117,-0.036,1.19,0.032324,-0.167104,0.421768,3.117,-0.036,1.19
