t,inp_mag,cmd_vx,cmd_vy,cmd_vz,cmd_wx,cmd_wy,cmd_wz,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.0001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.447432,3.108,-0.018,1.229
0.01024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.447432,3.108,-0.018,1.229
0.02032,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.447432,3.108,-0.018,1.229
0.03039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.447432,3.108,-0.018,1.229
0.04046,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.447432,3.108,-0.018,1.229
0.05052,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.06058,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.07066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.08072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.09079,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.10085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.11091,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.12098,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.13104,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.1411,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.15116,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119752,-0.157898,0.447445,3.108,-0.018,1.229
0.16122,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.17128,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.18136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.19141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.20147,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.21152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.22158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.23164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.2417,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119748,-0.157912,0.447436,3.108,-0.018,1.229
0.25176,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.26182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.27188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.28194,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.29198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.30204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.31211,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.32217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.33223,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119744,-0.15791,0.447436,3.108,-0.018,1.229
0.34229,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.35235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.36241,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.37247,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.38253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.39259,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.40265,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.41271,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.119745,-0.157908,0.44744,3.108,-0.018,1.229
0.42277,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.11974,-0.157908,0.44744,3.108,-0.018,1.229
0.43283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.11974,-0.157908,0.44744,3.108,-0.018,1.229
0.44289,0,0.0,0.0,0.0,0.0,0.0,0.0,0.119736,-0.157919,0.447432,3.108,-0.018,1.228,0.11974,-0.157908,0.44744,3.108,-0.018,1.229
