t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
1.80323,51,0.115246,-0.21347,0.321289,3.114,-0.076,1.975,0.115255,-0.213423,0.321308,3.114,-0.076,1.975
1.8233,86,0.115257,-0.213569,0.321289,3.114,-0.076,1.975,0.115255,-0.213423,0.321308,3.114,-0.076,1.975
1.84336,105,0.115299,-0.213689,0.321288,3.114,-0.076,1.975,0.115243,-0.213432,0.321297,3.114,-0.076,1.975
1.86342,123,0.11536,-0.213829,0.321283,3.114,-0.076,1.975,0.115243,-0.213432,0.321297,3.114,-0.076,1.975
1.88348,137,0.115437,-0.213986,0.321272,3.114,-0.076,1.975,0.115243,-0.213432,0.321297,3.114,-0.076,1.975
1.90353,155,0.115513,-0.214163,0.321257,3.114,-0.076,1.975,0.115243,-0.213432,0.321297,3.114,-0.076,1.975
1.92358,161,0.115595,-0.214347,0.321232,3.114,-0.076,1.975,0.115243,-0.213432,0.321297,3.114,-0.076,1.975
1.94362,170,0.11568,-0.214541,0.321204,3.114,-0.076,1.975,0.115238,-0.213428,0.321287,3.114,-0.076,1.975
1.96367,181,0.115775,-0.214748,0.321177,3.114,-0.076,1.975,0.115238,-0.213428,0.321287,3.114,-0.076,1.975
1.98372,199,0.115872,-0.214975,0.321152,3.114,-0.076,1.975,0.115238,-0.213428,0.321287,3.114,-0.076,1.975
2.00377,203,0.115961,-0.215207,0.321121,3.114,-0.076,1.975,0.115238,-0.213428,0.321287,3.114,-0.076,1.975
2.02383,210,0.116051,-0.215447,0.321083,3.114,-0.076,1.975,0.115238,-0.213428,0.321287,3.114,-0.076,1.975
2.04388,216,0.116144,-0.215694,0.321042,3.114,-0.076,1.975,0.11523,-0.213439,0.321294,3.114,-0.076,1.974
2.06393,219,0.116241,-0.215945,0.321,3.114,-0.076,1.975,0.11523,-0.213439,0.321294,3.114,-0.076,1.974
2.08398,220,0.116336,-0.216196,0.320956,3.114,-0.076,1.975,0.11523,-0.213439,0.321294,3.114,-0.076,1.974
2.10404,223,0.11643,-0.216451,0.320913,3.114,-0.076,1.975,0.115207,-0.213469,0.321296,3.114,-0.076,1.974
2.12409,226,0.11652,-0.216709,0.320868,3.114,-0.076,1.975,0.115207,-0.213469,0.321296,3.114,-0.076,1.974
2.14414,238,0.116608,-0.216981,0.320822,3.114,-0.076,1.975,0.115207,-0.213469,0.321296,3.114,-0.076,1.974
2.1642,241,0.116693,-0.217257,0.320775,3.114,-0.076,1.975,0.115207,-0.213469,0.321296,3.114,-0.076,1.974
2.18425,247,0.116777,-0.217539,0.320728,3.114,-0.076,1.975,0.115182,-0.213765,0.321243,3.114,-0.076,1.974
2.2043,255,0.116862,-0.21783,0.320681,3.114,-0.076,1.975,0.115182,-0.213765,0.321243,3.114,-0.076,1.974
2.22434,263,0.116937,-0.218131,0.320628,3.114,-0.076,1.975,0.115182,-0.213765,0.321243,3.114,-0.076,1.974
2.2444,266,0.117009,-0.218435,0.320575,3.114,-0.076,1.975,0.115182,-0.213765,0.321243,3.114,-0.076,1.974
2.26445,267,0.117081,-0.21874,0.32052,3.114,-0.076,1.975,0.115273,-0.21425,0.321193,3.115,-0.075,1.974
2.2845,272,0.117157,-0.219051,0.320465,3.114,-0.076,1.975,0.115273,-0.21425,0.321193,3.115,-0.075,1.974
2.30456,286,0.117244,-0.219378,0.320409,3.114,-0.076,1.975,0.115273,-0.21425,0.321193,3.115,-0.075,1.974
2.32461,296,0.117335,-0.219716,0.320351,3.114,-0.076,1.975,0.115273,-0.21425,0.321193,3.115,-0.075,1.974
2.34462,303,0.117429,-0.220062,0.32029,3.114,-0.076,1.975,0.115501,-0.214791,0.321121,3.115,-0.075,1.974
2.36467,304,0.117524,-0.22041,0.320227,3.114,-0.076,1.975,0.115501,-0.214791,0.321121,3.115,-0.075,1.974
2.38472,307,0.117614,-0.220761,0.320163,3.114,-0.076,1.975,0.115501,-0.214791,0.321121,3.115,-0.075,1.974
2.40477,308,0.117703,-0.221113,0.320099,3.114,-0.076,1.975,0.115501,-0.214791,0.321121,3.115,-0.075,1.974
2.42483,310,0.117793,-0.221467,0.320036,3.114,-0.076,1.975,0.115755,-0.215416,0.321015,3.115,-0.075,1.974
2.44488,310,0.117893,-0.221821,0.319976,3.114,-0.076,1.975,0.115755,-0.215416,0.321015,3.115,-0.075,1.974
2.46493,310,0.117991,-0.222175,0.319915,3.114,-0.076,1.975,0.115755,-0.215416,0.321015,3.115,-0.075,1.974
