t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
1.06451,67,0.131918,-0.242939,0.347211,3.114,-0.074,1.974,0.131906,-0.242941,0.347142,3.114,-0.074,1.973
1.08458,87,0.131918,-0.242939,0.34731,3.114,-0.074,1.974,0.131906,-0.242941,0.347142,3.114,-0.074,1.973
1.10464,105,0.131918,-0.242939,0.34743,3.114,-0.074,1.974,0.131906,-0.242941,0.347142,3.114,-0.074,1.973
1.1247,124,0.131912,-0.242939,0.347572,3.114,-0.074,1.974,0.131906,-0.242941,0.347142,3.114,-0.074,1.973
1.14476,139,0.131897,-0.242938,0.347731,3.114,-0.074,1.974,0.131906,-0.242941,0.347142,3.114,-0.074,1.973
1.16484,155,0.131879,-0.242926,0.347908,3.114,-0.074,1.973931,0.131909,-0.242945,0.347134,3.114,-0.074,1.973
1.1849,191,0.131853,-0.242912,0.348126,3.114,-0.074,1.973829,0.131909,-0.242945,0.347134,3.114,-0.074,1.973
1.20496,204,0.131823,-0.242898,0.348359,3.114,-0.074,1.973669,0.131909,-0.242945,0.347134,3.114,-0.074,1.973
1.22502,216,0.131792,-0.242889,0.348606,3.114,-0.074,1.973509,0.131909,-0.242934,0.34713,3.114,-0.074,1.974
1.24507,236,0.131764,-0.242884,0.348876,3.114,-0.074,1.973326,0.131909,-0.242934,0.34713,3.114,-0.074,1.974
1.26513,277,0.131719,-0.242873,0.349192,3.114,-0.074,1.972994,0.131909,-0.242934,0.34713,3.114,-0.074,1.974
1.2852,285,0.131668,-0.242868,0.349518,3.114,-0.074,1.972651,0.131909,-0.242934,0.34713,3.114,-0.074,1.974
1.30526,287,0.13162,-0.242868,0.349846,3.114,-0.074,1.972343,0.131909,-0.242934,0.34713,3.114,-0.074,1.974
1.32533,287,0.131571,-0.242868,0.350174,3.114,-0.074,1.972034,0.1319,-0.242933,0.347167,3.114,-0.074,1.974
1.34539,288,0.13152,-0.242868,0.350503,3.114,-0.074,1.971726,0.1319,-0.242933,0.347167,3.114,-0.074,1.974
1.36544,285,0.131469,-0.242868,0.350829,3.114,-0.074,1.971417,0.1319,-0.242933,0.347167,3.114,-0.074,1.974
1.3855,284,0.131416,-0.242868,0.351153,3.114,-0.074,1.97112,0.131898,-0.242965,0.347302,3.114,-0.074,1.974
1.40557,286,0.131361,-0.242868,0.35148,3.114,-0.074,1.970834,0.131898,-0.242965,0.347302,3.114,-0.074,1.974
1.42563,293,0.131303,-0.242868,0.351815,3.114,-0.074,1.97056,0.131898,-0.242965,0.347302,3.114,-0.074,1.974
1.4457,293,0.131244,-0.242868,0.35215,3.114,-0.074,1.970286,0.131898,-0.242965,0.347302,3.114,-0.074,1.974
1.46576,292,0.131185,-0.242868,0.352484,3.114,-0.074,1.970011,0.131898,-0.242965,0.347302,3.114,-0.074,1.974
1.48588,296,0.131129,-0.242868,0.352822,3.114,-0.074,1.969714,0.131908,-0.243083,0.347782,3.114,-0.073,1.973
1.50602,307,0.131079,-0.242868,0.353173,3.114,-0.074,1.969394,0.131908,-0.243083,0.347782,3.114,-0.073,1.973
1.52617,310,0.131028,-0.242868,0.353527,3.114,-0.074,1.969051,0.131908,-0.243083,0.347782,3.114,-0.073,1.973
1.54625,310,0.130977,-0.242868,0.353881,3.114,-0.074,1.968709,0.131908,-0.243083,0.347782,3.114,-0.073,1.973
1.56632,310,0.130928,-0.242868,0.354236,3.114,-0.074,1.968366,0.131885,-0.243081,0.348337,3.114,-0.072,1.973
1.58638,310,0.130879,-0.242868,0.35459,3.114,-0.074,1.968023,0.131885,-0.243081,0.348337,3.114,-0.072,1.973
1.60645,310,0.130831,-0.242868,0.354944,3.114,-0.074,1.967646,0.131885,-0.243081,0.348337,3.114,-0.072,1.973
1.62651,310,0.130782,-0.242868,0.355299,3.114,-0.074,1.967257,0.131885,-0.243081,0.348337,3.114,-0.072,1.973
1.64658,308,0.130735,-0.242868,0.355651,3.114,-0.074,1.966857,0.13175,-0.243137,0.349136,3.114,-0.072,1.972
1.66666,302,0.130689,-0.242868,0.355996,3.114,-0.074,1.966434,0.13175,-0.243137,0.349136,3.114,-0.072,1.972
1.68673,304,0.130643,-0.242868,0.356343,3.114,-0.074,1.966023,0.13175,-0.243137,0.349136,3.114,-0.072,1.972
1.70679,304,0.130595,-0.242868,0.356691,3.114,-0.074,1.965623,0.13175,-0.243137,0.349136,3.114,-0.072,1.972
1.72685,304,0.130547,-0.242868,0.357038,3.114,-0.074,1.965234,0.13175,-0.243137,0.349136,3.114,-0.072,1.972
1.74691,304,0.1305,-0.242868,0.357385,3.114,-0.074,1.964846,0.13159,-0.243054,0.349981,3.114,-0.072,1.971
1.76697,301,0.130453,-0.242868,0.357729,3.114,-0.074,1.964457,0.13159,-0.243054,0.349981,3.114,-0.072,1.971
1.78703,299,0.130408,-0.242868,0.358071,3.114,-0.074,1.964069,0.13159,-0.243054,0.349981,3.114,-0.072,1.971
1.80708,292,0.130365,-0.242868,0.358405,3.114,-0.074,1.963691,0.13159,-0.243054,0.349981,3.114,-0.072,1.971
1.82715,292,0.130321,-0.242868,0.358739,3.114,-0.074,1.963326,0.13159,-0.243054,0.349981,3.114,-0.072,1.971
1.84721,293,0.130278,-0.242868,0.359073,3.114,-0.074,1.962983,0.131432,-0.24303,0.351066,3.114,-0.073,1.97
1.86727,296,0.130239,-0.242868,0.359412,3.114,-0.074,1.962674,0.131432,-0.24303,0.351066,3.114,-0.073,1.97
1.88733,305,0.130215,-0.242868,0.35976,3.114,-0.074,1.962469,0.131432,-0.24303,0.351066,3.114,-0.073,1.97
1.90741,303,0.130189,-0.242868,0.360107,3.114,-0.074,1.962274,0.131432,-0.24303,0.351066,3.114,-0.073,1.97
1.92748,301,0.130164,-0.242868,0.360451,3.114,-0.074,1.962103,0.131432,-0.24303,0.351066,3.114,-0.073,1.97
1.94754,296,0.130135,-0.242868,0.360789,3.114,-0.074,1.961943,0.131432,-0.24303,0.351066,3.114,-0.073,1.97
1.96761,294,0.130111,-0.242868,0.361125,3.114,-0.074,1.961783,0.131112,-0.243052,0.352488,3.114,-0.073,1.969
1.98768,293,0.130087,-0.242868,0.36146,3.114,-0.074,1.9616,0.131112,-0.243052,0.352488,3.114,-0.073,1.969
2.00776,293,0.130065,-0.242868,0.361795,3.114,-0.074,1.961417,0.130967,-0.242973,0.353393,3.114,-0.073,1.968
2.02789,291,0.130047,-0.242868,0.362127,3.114,-0.074,1.961246,0.130967,-0.242973,0.353393,3.114,-0.073,1.968
2.04801,287,0.130032,-0.242868,0.362455,3.114,-0.074,1.961074,0.130967,-0.242973,0.353393,3.114,-0.073,1.968
2.06814,282,0.13002,-0.242868,0.362777,3.114,-0.074,1.960914,0.130967,-0.242973,0.353393,3.114,-0.073,1.968
2.08821,278,0.130009,-0.242868,0.363095,3.114,-0.074,1.960766,0.130828,-0.243126,0.354745,3.114,-0.072,1.966
2.10828,271,0.129998,-0.242868,0.363405,3.114,-0.074,1.960629,0.130828,-0.243126,0.354745,3.114,-0.072,1.966
2.12835,248,0.129987,-0.242868,0.363688,3.114,-0.074,1.960537,0.130828,-0.243126,0.354745,3.114,-0.072,1.966
2.14842,227,0.129979,-0.242868,0.363948,3.114,-0.074,1.960514,0.130828,-0.243126,0.354745,3.114,-0.072,1.966
2.16849,186,0.129979,-0.242868,0.36416,3.114,-0.074,1.960514,0.130665,-0.243096,0.356031,3.114,-0.072,1.965
2.18857,142,0.129975,-0.242868,0.364323,3.114,-0.074,1.960514,0.130665,-0.243096,0.356031,3.114,-0.072,1.965
2.20864,96,0.129939,-0.242868,0.364357,3.114,-0.074,1.960503,0.130665,-0.243096,0.356031,3.114,-0.072,1.965
2.2288,72,0.129916,-0.242868,0.364364,3.114,-0.074,1.960503,0.130665,-0.243096,0.356031,3.114,-0.072,1.965
3.01166,84,0.129916,-0.242772,0.364364,3.114,-0.074,1.960503,0.130084,-0.242805,0.363234,3.114,-0.073,1.961
3.03179,104,0.129916,-0.242653,0.364364,3.114,-0.074,1.960503,0.130084,-0.242805,0.363234,3.114,-0.073,1.961
3.05186,127,0.1299,-0.242508,0.364364,3.114,-0.074,1.960503,0.130084,-0.242805,0.363234,3.114,-0.073,1.961
