t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.00011,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155669,-0.242149,0.395234,3.109,-0.045,1.987
0.01015,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155669,-0.242149,0.395234,3.109,-0.045,1.987
0.02023,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155669,-0.242149,0.395234,3.109,-0.045,1.987
0.03028,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.04033,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.05038,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.06044,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.07049,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.08054,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.0906,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.10065,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.1107,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155645,-0.242161,0.395238,3.109,-0.045,1.986
0.12076,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.13081,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.14086,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.15092,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.16097,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.17102,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.18107,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.19113,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.20114,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155677,-0.242143,0.395226,3.109,-0.045,1.987
0.21119,0,0.155651,-0.242168,0.395227,3.109,-0.045,1.986,0.155658,-0.242107,0.395184,3.109,-0.045,1.987
