t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
1.26854,59,0.16333,-0.24073,0.398913,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.27863,69,0.16333,-0.24073,0.398933,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.28869,69,0.16333,-0.24073,0.398952,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.29877,70,0.16333,-0.24073,0.398972,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.30885,73,0.163333,-0.24073,0.398993,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.31891,73,0.163335,-0.24073,0.399014,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.32898,86,0.163337,-0.24073,0.399039,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.33905,101,0.16334,-0.240729,0.399067,3.109,-0.043,1.986,0.163316,-0.240731,0.398904,3.109,-0.043,1.985
1.34911,101,0.163343,-0.240727,0.399096,3.109,-0.043,1.986,0.163333,-0.240737,0.398883,3.109,-0.043,1.985
1.35918,117,0.163344,-0.240726,0.39913,3.109,-0.043,1.986,0.163333,-0.240737,0.398883,3.109,-0.043,1.985
1.36925,117,0.163345,-0.240724,0.399163,3.109,-0.043,1.986,0.163333,-0.240737,0.398883,3.109,-0.043,1.985
1.37933,123,0.163346,-0.240724,0.399198,3.109,-0.043,1.986,0.163333,-0.240737,0.398883,3.109,-0.043,1.985
1.38939,128,0.163346,-0.240724,0.399235,3.109,-0.043,1.986,0.163333,-0.240737,0.398883,3.109,-0.043,1.985
1.39945,128,0.163346,-0.240724,0.399271,3.109,-0.043,1.986,0.163333,-0.240737,0.398883,3.109,-0.043,1.985
