t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.54415,46,0.13247,-0.230463,0.369182,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.55422,46,0.132449,-0.230463,0.369182,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.56429,47,0.132428,-0.230463,0.369182,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.57435,50,0.132407,-0.230463,0.369182,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.58441,50,0.132385,-0.230463,0.369197,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.59448,63,0.132363,-0.230463,0.369213,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.60453,63,0.132339,-0.230463,0.36924,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.61459,72,0.132315,-0.230463,0.369267,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.62465,92,0.132285,-0.230463,0.369299,3.114,-0.071,1.953,0.132494,-0.23046,0.369204,3.114,-0.071,1.953
0.6347,92,0.132252,-0.230463,0.369336,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.64476,107,0.132219,-0.230463,0.369374,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.65481,110,0.132189,-0.230463,0.369422,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.66487,110,0.132163,-0.230463,0.369476,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.67492,105,0.132138,-0.230463,0.369531,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.68497,105,0.132118,-0.230463,0.36959,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.695,106,0.1321,-0.230463,0.369651,3.114,-0.071,1.953,0.132507,-0.23045,0.369199,3.114,-0.071,1.953
0.70505,106,0.132082,-0.230463,0.369711,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.71511,112,0.132063,-0.230463,0.369775,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.72516,112,0.132045,-0.230463,0.369839,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.73521,128,0.132027,-0.230463,0.369912,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.74527,137,0.13201,-0.230463,0.369991,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.75532,137,0.131993,-0.230463,0.370069,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.76538,143,0.131975,-0.230463,0.370151,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.77543,145,0.131957,-0.230463,0.370233,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.78548,145,0.131938,-0.230463,0.370316,3.114,-0.071,1.953,0.132476,-0.230472,0.3692,3.114,-0.071,1.953
0.79554,154,0.131919,-0.230463,0.370404,3.114,-0.071,1.953,0.132311,-0.23054,0.369501,3.114,-0.07,1.953
0.80559,154,0.131899,-0.230463,0.370492,3.114,-0.071,1.953,0.132311,-0.23054,0.369501,3.114,-0.07,1.953
0.81565,174,0.131878,-0.230463,0.370592,3.114,-0.071,1.953,0.132311,-0.23054,0.369501,3.114,-0.07,1.953
0.82571,187,0.131855,-0.230463,0.370699,3.114,-0.071,1.953,0.132311,-0.23054,0.369501,3.114,-0.07,1.953
0.83577,187,0.131833,-0.230463,0.370805,3.114,-0.071,1.953,0.132311,-0.23054,0.369501,3.114,-0.07,1.953
