t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
0.00015,0,0.142904,-0.239083,0.394071,3.114,-0.061,1.999,0.142904,-0.239083,0.394071,3.114,-0.061,1.999
0.01032,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.02049,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.03062,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.04074,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.05087,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.06099,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.0711,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.0812,0,0.142907,-0.239075,0.394082,3.114,-0.061,1.999,0.142907,-0.239075,0.394082,3.114,-0.061,1.999
0.09131,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.10142,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.11151,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.12162,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.13172,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.14182,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.15191,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.16205,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.17212,0,0.14291,-0.239069,0.394074,3.114,-0.061,1.999,0.14291,-0.239069,0.394074,3.114,-0.061,1.999
0.18219,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.19225,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.20232,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.21237,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.22243,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.2325,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.24257,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.25264,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.2627,0,0.142722,-0.23906,0.394224,3.114,-0.061,1.998,0.142722,-0.23906,0.394224,3.114,-0.061,1.998
0.27276,0,0.142542,-0.239145,0.394259,3.114,-0.061,1.997,0.142542,-0.239145,0.394259,3.114,-0.061,1.997
0.28282,0,0.142542,-0.239145,0.394259,3.114,-0.061,1.997,0.142542,-0.239145,0.394259,3.114,-0.061,1.997
0.29288,0,0.142542,-0.239145,0.394259,3.114,-0.061,1.997,0.142542,-0.239145,0.394259,3.114,-0.061,1.997
0.30293,0,0.142542,-0.239145,0.394259,3.114,-0.061,1.997,0.142542,-0.239145,0.394259,3.114,-0.061,1.997
0.31299,0,0.142542,-0.239145,0.394259,3.114,-0.061,1.997,0.142542,-0.239145,0.394259,3.114,-0.061,1.997
0.32305,0,0.142452,-0.239181,0.394225,3.114,-0.061,1.996,0.142452,-0.239181,0.394225,3.114,-0.061,1.996
0.3331,0,0.142452,-0.239181,0.394225,3.114,-0.061,1.996,0.142452,-0.239181,0.394225,3.114,-0.061,1.996
