t,inp_mag,tgt_x,tgt_y,tgt_z,tgt_rx,tgt_ry,tgt_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz
1.16394,46,0.132637,-0.244916,0.345133,3.114,-0.069,1.989,0.132638,-0.244888,0.345157,3.114,-0.069,1.989
1.30456,124,0.132637,-0.244909,0.345204,3.114,-0.069,1.989,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.31462,143,0.132637,-0.244906,0.345286,3.114,-0.069,1.989,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.32468,143,0.132637,-0.244903,0.345367,3.114,-0.069,1.988989,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.33474,159,0.132637,-0.244894,0.345458,3.114,-0.069,1.988966,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.34481,174,0.132637,-0.24487,0.345558,3.114,-0.069,1.988943,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.35487,174,0.132637,-0.244846,0.345657,3.114,-0.069,1.98892,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.36492,198,0.132637,-0.24481,0.34577,3.114,-0.069,1.988874,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.37498,214,0.132637,-0.244771,0.345892,3.114,-0.069,1.988829,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.38504,214,0.132636,-0.244732,0.346015,3.114,-0.069,1.988749,0.132634,-0.244896,0.345145,3.114,-0.069,1.988
1.39512,217,0.132636,-0.244695,0.346139,3.114,-0.069,1.988669,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.40518,217,0.132636,-0.244658,0.346263,3.114,-0.069,1.988589,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.41522,231,0.132636,-0.244627,0.346395,3.114,-0.069,1.98852,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.42528,247,0.132636,-0.2446,0.346536,3.114,-0.069,1.988451,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.43534,247,0.132636,-0.244573,0.346677,3.114,-0.069,1.988429,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.44541,253,0.132636,-0.244546,0.346822,3.114,-0.069,1.988429,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.45547,262,0.132636,-0.244514,0.346971,3.114,-0.069,1.988429,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.46557,262,0.132636,-0.244482,0.347121,3.114,-0.069,1.988429,0.132703,-0.244896,0.345109,3.114,-0.069,1.989
1.47565,266,0.132636,-0.244446,0.347273,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
1.48572,266,0.132636,-0.244407,0.347425,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
1.4958,266,0.132636,-0.244369,0.347577,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
1.50588,277,0.132636,-0.244334,0.347735,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
1.51594,277,0.132636,-0.244299,0.347894,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
1.526,283,0.132636,-0.244268,0.348055,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
1.53608,285,0.132634,-0.244233,0.348218,3.114,-0.069,1.988429,0.132701,-0.244871,0.345111,3.114,-0.069,1.989
